10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
10	11	12	1
13	14	15	1
21	22	23	2
24	25	26	2
31	32	33	3
34	35	36	3
